ticker,rows,first_date,last_date,universe_source,status
TIF,1543596,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TJX,707828,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TMO,663874,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TPR,1512906,20001030,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TRIP,1282248,20111222,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TROW,623777,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TRV,712753,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TSCO,731384,20020823,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TSN,1142923,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TSS,315993,19960718,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TWX,1994963,19960104,20180614,raw_options,PENDING_LSEG_RECONCILIATION
TXN,1742777,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
