ticker,rows,first_date,last_date,universe_source,status,RIC,DocumentTitle,mapping_status
HPQ,1656443,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HPQ,"HP Inc, Ordinary Share, NYSE Consolidated",MAPPED
HRB,776495,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HRB,"H & R Block Inc, Ordinary Share, NYSE Consolidated",MAPPED
HRL,461751,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HRL,"Hormel Foods Corp, Ordinary Share, NYSE Consolidated",MAPPED
HSIC,467161,19960904,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HSIC.O,"Henry Schein, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
HST,581885,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HST.O,"Host Hotels & Resorts, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
HSY,1035377,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HSY,"The Hershey Company, Ordinary Share, NYSE Consolidated",MAPPED
HUM,1781774,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HUM,"Humana Inc., Ordinary Share, NYSE Consolidated",MAPPED
IBM,2395834,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,IBM,"International Business Machines Corporation, Ordinary Share, NYSE Consolidated",MAPPED
ICE,909714,20051128,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ICE,"Intercontinental Exchange Inc, Ordinary Share, NYSE Consolidated",MAPPED
IDXX,471758,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,IDXX.O,"IDEXX Laboratories, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
IFF,444345,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,IFF,"International Flavors & Fragrances Inc., Ordinary Share, NYSE Consolidated",MAPPED
ILMN,1682482,20031218,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ILMN.O,"Illumina Inc, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
INCY,797680,19960926,20190628,raw_options,PENDING_LSEG_RECONCILIATION,INCY.O,"Incyte Corp, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
INFO,95160,20140627,20190628,raw_options,PENDING_LSEG_RECONCILIATION,INFO.K,"Harbor PanAgora Dynamic Large Cap Core ETF, Equity ETF, USD, NYSE Consolidated",MAPPED
INTC,1974206,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,INTC.O,"Intel Corp, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
